Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2023-01-26 09:00:00,TP1 VWAP,1618.65,0.0128,19.971712,0.71,3.53,0.83,4.13,-0.48,-2.42,0.63,0.63
1,Entry long,2023-01-26 00:00:00,Long,1560.29,0.0128,19.971712,0.71,3.53,0.83,4.13,-0.48,-2.42,0.63,0.63
2,Exit long,2023-01-26 10:00:00,BE Stop,1585.93,0.0512,79.886848,1.15,1.44,4.09,5.12,-1.94,-2.42,1.86,1.86
2,Entry long,2023-01-26 00:00:00,Long,1560.29,0.0512,79.886848,1.15,1.44,4.09,5.12,-1.94,-2.42,1.86,1.86
3,Exit long,2023-01-28 07:00:00,TP1 VWAP,1609.62,0.0127,19.943826,0.46,2.29,0.51,2.55,-0.15,-0.76,2.24,2.24
3,Entry long,2023-01-27 14:00:00,Long,1570.38,0.0127,19.943826,0.46,2.29,0.51,2.55,-0.15,-0.76,2.24,2.24
4,Exit long,2023-01-28 10:00:00,BE Stop,1592.99,0.0509,79.932342,0.99,1.24,2.55,3.19,-0.61,-0.76,3.31,3.31
4,Entry long,2023-01-27 14:00:00,Long,1570.38,0.0509,79.932342,0.99,1.24,2.55,3.19,-0.61,-0.76,3.31,3.31
5,Exit long,2023-01-29 13:00:00,TP1 VWAP,1603.6,0.0126,19.8891,0.28,1.39,0.5,2.53,-0.32,-1.59,3.5,3.5
5,Entry long,2023-01-29 03:00:00,Long,1578.5,0.0126,19.8891,0.28,1.39,0.5,2.53,-0.32,-1.59,3.5,3.5
6,Exit long,2023-01-29 14:00:00,BE Stop,1592.19,0.0507,80.02995,0.53,0.67,2.02,2.53,-1.27,-1.59,4.12,4.12
6,Entry long,2023-01-29 03:00:00,Long,1578.5,0.0507,80.02995,0.53,0.67,2.02,2.53,-1.27,-1.59,4.12,4.12
7,Exit long,2023-02-01 04:00:00,TP1 VWAP,1593.5,0.0127,19.888073,0.31,1.55,0.49,2.45,-0.02,-0.12,4.34,4.34
7,Entry long,2023-01-31 18:00:00,Long,1565.99,0.0127,19.888073,0.31,1.55,0.49,2.45,-0.02,-0.12,4.34,4.34
8,Exit long,2023-02-01 08:00:00,BE Stop,1587,0.0511,80.022089,0.91,1.14,1.96,2.45,-0.1,-0.12,5.34,5.34
8,Entry long,2023-01-31 18:00:00,Long,1565.99,0.0511,80.022089,0.91,1.14,1.96,2.45,-0.1,-0.12,5.34,5.34
9,Exit long,2023-02-10 07:00:00,SL,1579.45,0.0611,99.853286,-3.55,-3.55,0.86,0.86,-4.82,-4.82,1.79,1.79
9,Entry long,2023-02-09 18:00:00,Long,1634.26,0.0611,99.853286,-3.55,-3.55,0.86,0.86,-4.82,-4.82,1.79,1.79
